date,humidite_sol,temperature_sol,niveau_reservoir,evapotranspiration,profondeur_racines,ph_sol,conductivite_electrique
2023-02-20,32.5,8.5,84.5,3.8,18.0,6.8,0.9
2023-03-15,26.8,14.5,84.0,5.5,22.0,6.9,1.0
2023-04-10,20.5,19.8,83.5,7.2,30.0,7.0,1.2
2023-05-20,17.2,23.2,83.0,8.5,35.0,7.0,1.3
2023-06-15,14.5,25.5,82.5,9.5,40.0,7.1,1.4
2023-07-10,11.8,27.5,82.0,10.2,45.0,7.1,1.5
2023-08-25,70.2,21.8,81.5,8.2,50.0,7.0,1.2
2023-09-20,76.5,17.2,81.5,6.2,50.0,6.9,0.9
2023-10-15,73.8,12.5,81.5,4.2,50.0,6.8,0.8
2021-05-05,25.2,16.5,83.5,6.5,30.0,6.9,1.1
2021-05-06,23.8,17.2,83.0,6.8,30.0,6.9,1.1
2021-06-15,20.5,20.8,82.5,8.2,35.0,7.0,1.2
2021-07-20,18.2,23.2,82.0,9.5,40.0,7.1,1.3
2021-08-10,15.8,25.5,81.5,10.2,45.0,7.1,1.4
2021-08-25,65.5,22.2,81.5,8.5,50.0,7.0,1.1
2021-09-15,72.8,18.5,81.5,6.5,50.0,6.9,0.9
2022-05-10,24.2,19.2,83.5,7.5,30.0,7.0,1.2
2022-06-20,19.5,23.5,83.0,9.2,40.0,7.1,1.3
2022-07-25,16.8,25.8,82.5,10.5,45.0,7.1,1.4
2022-08-15,68.2,24.5,82.5,9.8,50.0,7.0,1.2
2023-05-15,22.8,19.8,83.5,7.8,30.0,7.0,1.2
2023-06-25,18.2,24.2,83.0,9.5,40.0,7.1,1.3
2023-07-30,15.5,26.5,82.5,10.8,45.0,7.1,1.5
2023-08-20,70.5,23.2,82.5,9.2,50.0,7.0,1.2
2021-04-20,28.5,13.2,84.0,5.2,25.0,6.9,1.0
2021-05-25,24.2,17.5,83.5,7.2,30.0,7.0,1.1
2021-06-30,20.8,20.5,83.0,8.8,35.0,7.0,1.2
2021-07-15,18.5,23.8,82.5,9.8,40.0,7.1,1.3
2021-08-05,16.2,26.2,82.0,10.5,45.0,7.1,1.4
2021-08-30,68.8,22.5,82.0,8.8,50.0,7.0,1.1
2021-09-25,75.5,18.2,82.0,6.8,50.0,6.9,0.9
2022-04-25,26.8,14.5,84.0,5.8,25.0,6.9,1.0
2022-06-05,22.5,21.8,83.5,8.5,35.0,7.0,1.2
2022-07-20,19.2,25.2,83.0,10.2,40.0,7.1,1.3
2022-08-30,72.2,23.5,83.0,9.5,50.0,7.0,1.2
2023-05-05,25.5,18.5,84.0,7.2,30.0,7.0,1.1
2023-06-15,21.2,22.8,83.5,9.2,35.0,7.0,1.2
2023-07-25,17.8,25.8,83.0,10.5,40.0,7.1,1.4
2023-09-05,74.5,20.2,83.0,7.8,50.0,7.0,1.1
2025-12-01,73.2,19.2,83.0,1.5,50.2,7.0,1.1
2025-12-02,72.7,20.1,83.0,2.2,50.4,7.0,1.1
2025-12-03,93.1,20.9,73.7,2.1,50.6,7.0,1.1
